Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
batch,r3741709-n386398,0,40,1610094132,3348,20.66,206.6,2353292,15972072,0,14.686848999999999,2.010296
batch,r3741709-n386398,0,50,1610094142,3348,30.98,309.8,2350308,15978984,0,0.0,0.0
batch,r3741709-n386398,0,60,1610094152,3348,25.69,256.9,2371848,15968480,0,0.0,0.000771
batch,r3741709-n386398,0,70,1610094162,3348,7.84,78.4,2607764,16042216,0,0.0,0.009092
batch,r3741709-n386398,0,80,1610094172,3348,4.16,41.6,2419620,16042216,0,0.0,1.7615020000000001
batch,r3741709-n386398,0,90,1610094182,3348,17.28,172.8,2367460,16070888,0,1.519367,1.7604669999999998
batch,r3741709-n386398,0,100,1610094192,3348,32.64,326.4,2367096,16070888,0,0.0,0.0
batch,r3741709-n386398,0,110,1610094202,3348,29.25,292.5,2562144,16062692,0,0.0,0.003981
batch,r3741709-n386398,0,120,1610094212,3348,6.87,68.7,2432720,16078056,0,0.0,0.0035960000000000002
batch,r3741709-n386398,0,130,1610094222,3348,3.99,39.9,2601796,16340200,0,0.0,0.00286
batch,r3741709-n386398,0,140,1610094232,3348,5.3,53.0,2440152,16364776,0,0.759684,1.761771
batch,r3741709-n386398,0,150,1610094242,3348,29.17,291.7,2346388,16364776,0,0.759684,1.759408
batch,r3741709-n386398,0,160,1610094252,3348,36.78,367.8,2346588,16348384,0,0.0,0.0
batch,r3741709-n386398,0,170,1610094262,3348,14.7,147.0,2802884,16356580,0,0.0,0.0040030000000000005
batch,r3741709-n386398,0,180,1610094272,3348,4.09,40.9,2604820,16364776,0,0.0,0.0059689999999999995
batch,r3741709-n386398,0,190,1610094282,3348,2.91,29.1,2415732,16364776,0,0.0,0.001637
batch,r3741709-n386398,0,200,1610094292,3348,18.14,181.4,2414148,16364776,0,0.759684,1.7607669999999997
batch,r3741709-n386398,0,210,1610094302,3348,31.37,313.7,2364808,16356580,0,0.759684,1.7598669999999998
batch,r3741709-n386398,0,220,1610094312,3348,24.39,243.9,2548660,16364776,0,0.0,0.003981
batch,r3741709-n386398,0,230,1610094322,3348,12.93,129.3,2602076,16356580,0,0.0,0.001057
batch,r3741709-n386398,0,240,1610094332,3348,3.91,39.1,2600760,16364776,0,0.0,0.005251
batch,r3741709-n386398,0,250,1610094342,3348,19.08,190.8,2403780,16364776,0,0.759684,1.7608810000000001
batch,r3741709-n386398,0,260,1610094352,3348,29.68,296.8,2348280,16364776,0,0.759684,1.7598470000000002
batch,r3741709-n386398,0,270,1610094362,3348,26.38,263.8,2474012,16372456,0,12.004021,0.004297
batch,r3741709-n386398,0,280,1610094372,3348,14.13,141.3,2259376,16377576,0,13.560585000000001,0.005388
batch,r3741709-n386398,0,290,1610094382,3348,5.6,56.0,2082364,16377576,0,0.7601220000000001,1.761813
batch,r3741709-n386398,0,300,1610094392,3348,33.17,331.7,2131892,16377576,0,0.7601220000000001,1.7601740000000001
batch,r3741709-n386398,0,310,1610094402,3348,33.62,336.2,2129236,16377576,0,0.0,0.0
batch,r3741709-n386398,0,320,1610094412,3348,15.36,153.6,2505484,16380136,0,12.045109,0.008052
batch,r3741709-n386398,0,330,1610094422,3348,5.7,57.0,2136492,16380136,0,0.759684,1.762241
batch,r3741709-n386398,0,340,1610094432,3348,29.35,293.5,2188312,16380136,0,0.7601220000000001,1.759873
batch,r3741709-n386398,0,350,1610094442,3348,35.46,354.6,2181644,16371940,0,0.0,0.0
batch,r3741709-n386398,0,360,1610094452,3348,15.96,159.6,2570680,16380136,0,0.0,0.00771
batch,r3741709-n386398,0,370,1610094462,3348,2.93,29.3,2195312,16380136,0,0.0,0.00237
batch,r3741709-n386398,0,380,1610094472,3348,23.98,239.8,2191556,16380136,0,1.519367,3.5198629999999995
