Step,Node,Series,ElapsedTime,Min_EpochTime,Max_EpochTime,Sum_EpochTime,Avg_EpochTime,Min_CPUFrequency,Max_CPUFrequency,Sum_CPUFrequency,Avg_CPUFrequency,Min_CPUTime,Max_CPUTime,Sum_CPUTime,Avg_CPUTime,Min_CPUUtilization,Max_CPUUtilization,Sum_CPUUtilization,Avg_CPUUtilization,Min_RSS,Max_RSS,Sum_RSS,Avg_RSS,Min_VMSize,Max_VMSize,Sum_VMSize,Avg_VMSize,Min_Pages,Max_Pages,Sum_Pages,Avg_Pages,Min_ReadMB,Max_ReadMB,Sum_ReadMB,Avg_ReadMB,Min_WriteMB,Max_WriteMB,Sum_WriteMB,Avg_WriteMB
-1,r3741709-n386398,0,520,1610094091,1610094611,85335000603,1610094351.0,3189,3189,169017,3189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888,2176,48352,912.301887,7776,168368,572720,10806.037736,0,0,0,0.0,0.0,0.0018579999999999998,0.0018579999999999998,3.5e-05,0.0,0.0022429999999999998,0.0022429999999999998,4.2e-05
batch,r3741709-n386398,0,520,1610094092,1610094612,85335000656,1610094352.0,3348,3348,177444,3348.0,0.0,39.57,1019.11,19.228491,0.0,395.7,10191.1,192.284906,4924,2802884,121882656,2299672.754717,199044,16937192,850260228,16042645.811321,0,0,0,0.0,0.0,297.180005,466.7957,8.807466,0.0,89.340246,128.182905,2.418545
