datetime,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
2021-05-12 20:08:00,0.0,0.07663551401869159,0.005607476635514018,8376.114018691589,24133.885981308413,39.29532710280374,38.04859813084112,37.020317757009344,16.0
2021-05-12 20:09:00,0.0,0.0,0.0,1919.0,30591.0,40.33793103448276,39.0,39.31220689655173,16.0
2021-05-12 20:10:00,0.0,0.0,0.0,1919.0,30591.0,41.0,39.0,39.38372413793104,16.0
2021-05-12 20:11:00,0.0,0.0,0.0,1919.0,30591.0,41.0,39.01036269430052,39.40072538860104,16.0
2021-05-12 20:12:00,0.0,0.0,0.0,1919.0,30591.0,41.0,39.05172413793103,39.42386206896552,16.0
2021-05-12 20:13:00,0.0,29.698275862068964,16.03965517241379,1754.4275862068966,30755.572413793103,44.029310344827586,43.01724137931034,79.25727586206897,16.0
2021-05-12 20:14:00,0.0,89.38275862068966,53.17068965517242,1483.0,31027.0,58.5448275862069,60.93793103448276,164.60358620689655,16.0
2021-05-12 20:15:00,0.0,89.51813471502591,53.26252158894646,1483.0,31027.0,64.139896373057,67.41105354058722,169.20001727115715,16.0
2021-05-12 20:16:00,0.0,84.48275862068965,50.11379310344827,1483.0,31027.0,65.8948275862069,69.30344827586207,163.34613793103446,16.0
2021-05-12 20:17:00,0.0,89.52158894645942,53.265975820379964,1483.0,31027.0,67.21588946459413,71.11917098445596,172.7114335060449,16.0
2021-05-12 20:18:00,0.0,85.49137931034483,50.76724137931034,1483.0,31027.0,67.80862068965517,71.66724137931034,166.91008620689655,16.0
2021-05-12 20:19:00,0.0,89.76379310344828,53.42758620689655,1483.0,31027.0,67.74137931034483,71.76551724137931,173.2455172413793,16.0
2021-05-12 20:20:00,0.0,89.68103448275862,53.34827586206897,1483.0,31027.0,68.42241379310344,72.47586206896551,173.9771551724138,16.0
2021-05-12 20:21:00,0.0,85.46977547495682,50.656303972366146,1483.0,31027.0,68.50777202072538,72.3385146804836,166.64316062176167,16.0
2021-05-12 20:22:00,0.0,89.61896551724138,53.394827586206894,1483.0,31027.0,69.55344827586207,73.72758620689655,175.14084482758622,16.0
2021-05-12 20:23:00,0.0,89.76034482758621,53.436206896551724,1483.0,31027.0,68.6603448275862,72.77586206896552,174.58827586206897,16.0
2021-05-12 20:24:00,0.0,85.13448275862069,50.574137931034485,1483.0,31027.0,68.17586206896551,72.05689655172414,167.28122413793105,16.0
2021-05-12 20:25:00,0.0,89.65975820379965,53.39032815198618,1483.0,31027.0,68.69257340241796,72.73747841105354,175.49960276338516,16.0
2021-05-12 20:26:00,0.0,84.71379310344828,49.49310344827586,1483.0,31027.0,68.37241379310345,72.16724137931034,165.94579310344827,16.0
2021-05-12 20:27:00,0.0,83.57167530224525,48.33506044905008,1483.0,31027.0,66.25043177892918,69.59067357512953,161.24658031088083,16.0
2021-05-12 20:28:00,0.0,89.65344827586208,53.35344827586207,1483.0,31027.0,68.22068965517241,72.26896551724138,174.8341379310345,16.0
2021-05-12 20:29:00,0.0,83.95509499136442,49.8566493955095,1483.0,31027.0,67.92400690846287,71.60103626943005,165.5064421416235,16.0
2021-05-12 20:30:00,0.0,89.8948275862069,53.49655172413793,1483.0,31027.0,68.38103448275862,72.27931034482759,173.8846724137931,16.0
2021-05-12 20:31:00,0.0,89.61206896551724,53.324137931034485,1483.0,31027.0,68.88275862068966,72.91896551724138,175.57596551724137,16.0
2021-05-12 20:32:00,0.0,85.9448275862069,51.046551724137935,1483.0,31027.0,68.27931034482759,72.13620689655173,169.51393103448277,16.0
2021-05-12 20:33:00,0.0,89.72193436960276,53.35751295336787,1483.0,31027.0,68.72366148531951,72.72020725388602,175.08032815198618,16.0
2021-05-12 20:34:00,0.0,89.72241379310344,53.42413793103448,1483.0,31027.0,70.09655172413792,74.27758620689656,175.9438275862069,16.0
2021-05-12 20:35:00,0.0,83.44137931034483,49.50344827586207,1483.0,31027.0,67.93793103448276,71.65862068965517,164.70394827586205,16.0
2021-05-12 20:36:00,0.0,89.61139896373057,53.33160621761658,1483.0,31027.0,68.97236614853195,73.08462867012089,175.9917616580311,16.0
2021-05-12 20:37:00,0.0,84.18480138169258,50.008635578583764,1483.0,31027.0,68.31433506044905,72.139896373057,167.45006908462867,16.0
2021-05-12 20:38:00,0.0,89.63620689655173,53.37241379310345,1483.0,31027.0,68.73620689655172,72.72758620689655,175.44877586206894,16.0
2021-05-12 20:39:00,0.0,89.49310344827586,53.262068965517244,1483.0,31027.0,68.9103448275862,72.97758620689655,176.3497931034483,16.0
2021-05-12 20:40:00,0.0,72.3175965665236,39.51072961373391,2022.9055793991417,30487.094420600857,66.78540772532189,69.62660944206009,142.08821888412018,16.0
