timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1621447366.935,0,0,0,32510,0,56,57,52.61,16
1621447367.038,0,0,0,32510,0,56,57,52.6,16
1621447367.141,0,0,0,32510,0,56,57,52.53,16
1621447367.247,0,0,0,32510,0,56,57,52.62,16
1621447367.35,0,0,0,32510,0,56,57,52.62,16
1621447367.453,0,0,0,32510,0,56,57,52.52,16
1621447367.556,0,0,0,32510,0,56,57,52.52,16
1621447367.659,0,0,0,32510,0,56,57,52.57,16
1621447367.763,0,0,0,32510,0,56,57,52.5,16
1621447367.868,0,0,0,32510,0,56,57,52.39,16
1621447367.972,0,0,0,32510,0,56,57,52.49,16
1621447368.074,0,0,0,32510,0,56,57,52.5,16
1621447368.177,0,0,0,32510,0,56,57,52.49,16
1621447368.28,0,0,0,32510,0,56,57,52.37,16
1621447368.383,0,0,0,32510,0,56,57,52.58,16
1621447368.489,0,0,0,32510,0,56,56,52.34,16
1621447368.592,0,0,0,32510,0,56,56,52.46,16
1621447368.695,0,0,0,32510,0,56,56,52.43,16
1621447368.799,0,0,0,32510,0,56,57,52.42,16
1621447368.902,0,0,0,32510,0,56,56,52.41,16
1621447369.005,0,0,0,32510,0,56,56,52.44,16
1621447369.111,0,0,0,32510,0,56,56,52.38,16
1621447369.214,0,0,0,32510,0,56,56,52.41,16
1621447369.318,0,0,0,32510,0,56,56,52.28,16
1621447369.421,0,0,0,32510,0,56,56,52.39,16
1621447369.524,0,0,0,32510,0,56,56,52.34,16
1621447369.627,0,0,0,32510,0,56,56,52.34,16
1621447369.732,0,0,0,32510,0,56,56,52.33,16
1621447369.835,0,0,0,32510,0,56,56,52.33,16
1621447369.938,0,0,0,32510,0,56,56,52.39,16
1621447370.041,0,0,0,32510,0,56,56,52.29,16
1621447370.144,0,0,0,32510,0,56,56,52.26,16
1621447370.247,0,0,0,32510,0,56,56,52.22,16
1621447370.35,0,0,0,32510,0,56,56,52.23,16
1621447370.454,0,0,0,32510,0,56,56,52.25,16
1621447370.557,0,0,0,32510,0,56,56,52.26,16
1621447370.66,0,0,0,32510,0,56,56,52.16,16
1621447370.763,0,0,0,32510,0,56,56,52.25,16
1621447370.866,0,0,0,32510,0,56,56,52.25,16
1621447370.969,0,0,0,32510,0,56,56,52.25,16
1621447371.072,0,0,0,32510,0,56,56,52.23,16
1621447371.176,0,0,0,32510,0,56,56,52.23,16
1621447371.279,0,0,0,32510,0,56,56,52.23,16
1621447371.382,0,0,0,32510,0,56,56,52.19,16
1621447371.485,0,0,0,32510,0,56,56,52.15,16
1621447371.588,0,0,0,32510,0,56,56,52.19,16
1621447371.69,0,0,0,32510,0,56,56,52.15,16
1621447371.796,0,0,0,32510,0,56,56,52.21,16
1621447371.9,0,0,0,32510,0,56,56,52.2,16
1621447372.003,0,0,0,32510,0,56,56,51.96,16
1621447372.106,0,0,0,32510,0,55,56,52.11,16
1621447372.208,0,0,0,32510,0,56,56,51.97,16
1621447372.312,0,0,0,32510,0,55,56,52.11,16
1621447372.414,0,0,0,32510,0,55,56,52.03,16
1621447372.519,0,0,0,32510,0,55,56,52.07,16
1621447372.622,0,0,0,32510,0,55,56,51.99,16
1621447372.726,0,0,0,32510,0,55,56,51.8,16
1621447372.83,0,0,0,32510,0,55,56,52.06,16
1621447372.933,0,0,0,32510,0,55,56,51.96,16
1621447373.036,0,0,0,32510,0,55,56,52.04,16
1621447373.14,0,0,0,32510,0,55,56,52.06,16
1621447373.244,0,0,0,32510,0,55,56,51.96,16
1621447373.346,0,0,0,32510,0,55,56,52.04,16
1621447373.449,0,0,0,32510,0,55,55,52.04,16
1621447373.553,0,0,0,32510,0,55,56,52.04,16
1621447373.656,0,0,0,32510,0,55,56,52.04,16
1621447373.762,0,0,0,32510,0,55,56,52.0,16
1621447373.865,0,0,0,32510,0,55,56,51.93,16
1621447373.968,0,0,0,32510,0,55,56,51.84,16
1621447374.071,0,0,0,32510,0,55,56,51.99,16
1621447374.174,0,0,0,32510,0,55,56,51.98,16
1621447374.277,0,0,0,32510,0,55,56,51.88,16
1621447374.383,0,0,0,32510,0,55,56,51.86,16
1621447374.486,0,0,0,32510,0,55,56,51.92,16
1621447374.589,0,0,0,32510,0,55,55,51.92,16
1621447374.692,0,0,0,32510,0,55,55,51.84,16
1621447374.795,0,0,0,32510,0,55,55,51.87,16
1621447374.898,0,0,0,32510,0,55,56,51.96,16
1621447375.001,0,0,0,32510,0,55,55,51.99,16
1621447375.105,0,0,0,32510,0,55,55,51.87,16
1621447375.208,0,0,0,32510,0,55,55,51.83,16
1621447375.31,0,0,0,32510,0,55,55,51.78,16
1621447375.413,0,0,0,32510,0,55,55,51.83,16
1621447375.516,0,0,0,32510,0,55,55,51.8,16
1621447375.619,0,0,0,32510,0,55,55,51.81,16
1621447375.726,0,0,0,32510,0,55,55,51.8,16
1621447375.83,0,0,0,32510,0,55,55,51.76,16
1621447375.933,0,0,0,32510,0,55,55,51.8,16
1621447376.036,0,0,0,32510,0,55,55,51.76,16
1621447376.139,0,0,0,32510,0,55,55,51.83,16
1621447376.242,0,0,0,32510,0,55,55,51.81,16
1621447376.347,0,0,0,32510,0,55,55,51.76,16
1621447376.45,0,0,0,32510,0,55,55,51.78,16
1621447376.553,0,0,0,32510,0,55,55,51.72,16
1621447376.656,0,0,0,32510,0,55,55,51.8,16
1621447376.759,0,0,0,32510,0,55,55,51.74,16
1621447376.862,0,0,0,32510,0,55,55,51.63,16
1621447376.965,0,0,0,32510,0,55,55,51.58,16
1621447377.069,0,0,0,32510,0,55,55,51.74,16
1621447377.172,0,0,0,32510,0,55,55,51.62,16
1621447377.275,0,0,0,32510,0,55,55,51.69,16
1621447377.378,0,0,0,32510,0,55,55,51.58,16
1621447377.482,0,0,0,32510,0,55,55,51.58,16
1621447377.584,0,0,0,32510,0,55,55,51.56,16
1621447377.69,0,0,0,32510,0,55,55,51.63,16
1621447377.794,0,0,0,32510,0,55,55,51.58,16
1621447377.901,0,0,0,32510,0,55,55,51.58,16
1621447378.004,0,0,0,32510,0,55,55,51.53,16
1621447378.107,0,0,0,32510,0,55,55,51.55,16
1621447378.211,0,0,0,32510,0,55,55,51.57,16
1621447378.314,0,0,0,32510,0,55,55,51.56,16
1621447378.417,0,0,0,32510,0,54,55,51.55,16
1621447378.52,0,0,0,32510,0,55,55,51.62,16
1621447378.623,0,0,0,32510,0,55,55,51.55,16
1621447378.726,0,0,0,32510,0,54,55,51.65,16
1621447378.833,0,0,0,32510,0,54,55,51.47,16
1621447378.938,0,0,0,32510,0,54,55,51.51,16
1621447379.041,0,0,0,32510,0,54,55,51.52,16
1621447379.144,0,0,0,32510,0,54,55,51.51,16
1621447379.247,0,0,0,32510,0,54,55,51.33,16
1621447379.35,0,0,0,32510,0,54,55,51.44,16
1621447379.454,0,0,0,32510,0,54,55,51.48,16
1621447379.557,0,0,0,32510,0,54,55,51.45,16
1621447379.66,0,0,0,32510,0,54,55,51.52,16
1621447379.763,0,0,0,32510,0,54,55,51.3,16
1621447379.866,0,0,0,32510,0,54,55,51.39,16
1621447379.969,0,0,0,32510,0,54,55,51.33,16
1621447380.075,0,0,0,32510,0,54,54,51.49,16
1621447380.179,0,0,0,32510,0,54,55,51.3,16
1621447380.282,0,0,0,32510,0,54,54,51.38,16
1621447380.385,0,0,0,32510,0,54,55,51.37,16
1621447380.488,0,0,0,32510,0,54,54,51.5,16
1621447380.591,0,0,0,32510,0,54,54,51.46,16
1621447380.697,0,0,0,32510,0,54,54,51.36,16
1621447380.8,0,0,0,32510,0,54,54,51.46,16
1621447380.903,0,0,0,32510,0,54,54,51.36,16
1621447381.006,0,0,0,32510,0,54,54,51.36,16
1621447381.109,0,0,0,32510,0,54,54,51.28,16
1621447381.212,0,0,0,32510,0,54,54,51.42,16
1621447381.315,0,0,0,32510,0,54,54,51.28,16
1621447381.419,0,0,0,32510,0,54,54,51.36,16
1621447381.522,0,0,0,32510,0,54,54,51.38,16
1621447381.625,0,0,0,32510,0,54,54,51.28,16
1621447381.728,0,0,0,32510,0,54,54,51.3,16
1621447381.831,0,0,0,32510,0,54,54,51.34,16
1621447381.933,0,0,0,32510,0,54,54,51.3,16
1621447382.037,0,0,0,32510,0,54,54,51.31,16
1621447382.14,0,0,0,32510,0,54,54,51.26,16
1621447382.245,0,0,0,32510,0,54,54,51.29,16
1621447382.348,0,0,0,32510,0,54,54,51.32,16
1621447382.451,0,0,0,32510,0,54,54,51.29,16
1621447382.554,0,0,0,32510,0,54,54,51.23,16
1621447382.657,0,0,0,32510,0,54,54,51.13,16
1621447382.762,0,0,0,32510,0,54,54,51.2,16
1621447382.865,0,0,0,32510,0,54,54,51.19,16
1621447382.968,0,0,0,32510,0,54,54,51.24,16
1621447383.071,0,0,0,32510,0,54,54,51.06,16
1621447383.174,0,0,0,32510,0,54,54,51.21,16
1621447383.277,0,0,0,32510,0,54,54,51.26,16
1621447383.383,0,0,0,32510,0,54,54,51.14,16
1621447383.486,0,0,0,32510,0,54,54,51.2,16
1621447383.589,0,0,0,32510,0,54,54,51.16,16
1621447383.693,0,0,0,32510,0,54,54,51.08,16
1621447383.796,0,0,0,32510,0,54,54,51.13,16
1621447383.899,0,0,0,32510,0,54,54,51.25,16
1621447384.004,0,0,0,32510,0,54,54,51.13,16
1621447384.107,0,0,0,32510,0,54,54,51.01,16
1621447384.21,0,0,0,32510,0,54,54,51.05,16
1621447384.313,0,0,0,32510,0,54,54,51.1,16
1621447384.416,0,0,0,32510,0,54,54,51.34,16
1621447384.521,0,0,0,32510,0,54,54,51.32,16
1621447384.625,0,0,0,32510,0,54,54,51.14,16
1621447384.729,0,0,0,32510,0,54,54,51.07,16
1621447384.832,0,0,0,32510,0,54,54,51.01,16
1621447384.934,0,0,0,32510,0,54,54,50.92,16
1621447385.037,0,0,0,32510,0,54,54,51.24,16
1621447385.141,0,0,0,32510,0,54,54,51.1,16
1621447385.247,0,0,0,32510,0,53,54,50.98,16
1621447385.351,0,0,0,32510,0,54,54,51.06,16
1621447385.454,0,0,0,32510,0,54,54,51.03,16
1621447385.557,0,0,0,32510,0,54,54,51.14,16
1621447385.66,0,0,0,32510,0,53,54,50.97,16
1621447385.763,0,0,0,32510,0,53,54,51.1,16
1621447385.868,0,0,0,32510,0,53,54,51.0,16
1621447385.971,0,0,0,32510,0,54,54,50.93,16
1621447386.074,0,0,0,32510,0,53,54,50.97,16
1621447386.177,0,0,0,32510,0,53,54,50.97,16
1621447386.28,0,0,0,32510,0,53,54,50.97,16
1621447386.383,0,0,0,32510,0,53,54,50.74,16
1621447386.486,0,0,0,32510,0,53,54,50.94,16
1621447386.591,0,0,0,32510,0,53,54,50.97,16
1621447386.694,0,0,0,32510,0,53,54,50.97,16
1621447386.797,0,0,0,32510,0,53,54,50.71,16
1621447386.9,0,0,0,32510,0,53,54,50.87,16
1621447387.003,0,0,0,32510,0,53,54,50.92,16
1621447387.106,0,0,0,32510,0,53,53,50.9,16
1621447387.212,0,0,0,32510,0,53,54,50.91,16
1621447387.315,0,0,0,32510,0,53,54,50.86,16
1621447387.418,0,0,0,32510,0,53,53,50.74,16
1621447387.521,0,0,0,32510,0,53,54,51.06,16
1621447387.624,0,0,0,32510,0,53,53,50.88,16
1621447387.727,0,0,0,32510,0,53,53,50.85,16
1621447387.833,0,0,0,32510,0,53,53,50.9,16
1621447387.936,0,0,0,32510,0,53,53,50.08,16
1621447388.039,0,0,0,32510,0,53,53,50.26,16
1621447388.142,0,0,0,32510,0,53,53,50.22,16
1621447388.245,0,0,0,32510,0,53,53,50.29,16
1621447388.348,0,0,0,32510,0,53,53,50.25,16
1621447388.451,0,0,0,32510,0,53,53,50.2,16
1621447388.557,0,0,0,32510,0,53,53,50.26,16
1621447388.661,0,0,0,32510,0,53,53,50.13,16
1621447388.763,0,0,0,32510,0,53,53,50.23,16
1621447388.866,0,0,0,32510,0,53,53,50.05,16
1621447388.969,0,0,0,32510,0,53,53,50.18,16
1621447389.073,0,0,0,32510,0,53,53,50.11,16
1621447389.178,0,0,0,32510,0,53,53,50.1,16
1621447389.281,0,0,0,32510,0,53,53,50.16,16
1621447389.384,0,0,0,32510,0,53,53,50.01,16
1621447389.487,0,0,0,32510,0,53,53,50.1,16
1621447389.59,0,0,0,32510,0,53,53,50.11,16
1621447389.693,0,0,0,32510,0,53,53,50.03,16
1621447389.799,0,0,0,32510,0,53,53,50.13,16
1621447389.902,0,0,0,32510,0,53,53,50.13,16
1621447390.005,0,0,0,32510,0,53,53,50.05,16
1621447390.108,0,0,0,32510,0,53,53,50.08,16
1621447390.211,0,0,0,32510,0,53,53,50.15,16
1621447390.314,0,0,0,32510,0,53,53,50.73,16
1621447390.417,0,0,0,32510,0,53,53,50.73,16
1621447390.521,0,0,0,32510,0,53,53,50.65,16
1621447390.624,0,0,0,32510,0,53,53,50.62,16
1621447390.727,0,0,0,32510,0,53,53,50.57,16
1621447390.83,0,0,0,32510,0,53,53,50.74,16
1621447390.933,0,0,0,32510,0,53,53,50.71,16
1621447391.036,0,0,0,32510,0,53,53,50.68,16
1621447391.142,0,0,0,32510,0,53,53,50.55,16
1621447391.246,0,0,0,32510,0,53,53,50.52,16
1621447391.348,0,0,0,32510,0,53,53,50.64,16
1621447391.451,0,0,0,32510,0,53,53,50.45,16
1621447391.554,0,0,0,32510,0,53,53,50.53,16
